GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0041600102,1610612741,Bulls,CHI,Chicago,240:00,116.6,116.8,101.7,102.1,14.9,14.7,0.622,2.33,20.7,0.318,0.694,0.516,12.61,12.6,0.562,0.583,1.0,0.196,95.26,95.0,79.17,95,0.596
0041600103,1610612738,Celtics,BOS,Boston,240:00,109.4,111.8,92.9,93.5,16.4,18.3,0.829,2.62,25.0,,0.647,,13.673,14.0,0.576,0.584,1.0,0.198,94.34,93.0,77.5,93,0.606
0041600103,1610612741,Bulls,CHI,Chicago,240:00,92.9,93.5,109.4,111.8,-16.4,-18.3,0.424,0.78,11.4,0.353,,,19.231,19.4,0.429,0.48,1.0,0.199,94.34,93.0,77.5,93,0.394
0041600104,1610612738,Celtics,BOS,Boston,240:00,111.0,115.6,104.9,106.7,6.1,8.8,0.579,1.69,17.4,0.298,0.708,0.505,13.877,14.4,0.524,0.567,1.0,0.197,92.1,89.5,74.58,90,0.544
0041600104,1610612741,Bulls,CHI,Chicago,240:00,104.9,106.7,111.0,115.6,-6.1,-8.8,0.594,1.58,15.6,0.292,0.702,0.495,13.257,13.5,0.454,0.525,1.0,0.199,92.1,89.5,74.58,89,0.456
0041600105,1610612738,Celtics,BOS,Boston,240:00,112.4,113.7,104.9,103.2,7.5,10.5,0.711,4.5,20.6,0.22,,,6.242,6.3,0.483,0.55,1.0,0.198,94.3,94.5,78.75,95,0.544
0041600105,1610612741,Bulls,CHI,Chicago,240:00,104.9,103.2,112.4,113.7,-7.5,-10.5,0.649,1.5,19.8,,0.78,,17.301,17.0,0.561,0.595,1.0,0.201,94.3,94.5,78.75,94,0.456
0041600106,1610612738,Celtics,BOS,Boston,240:00,115.5,112.9,89.7,89.2,25.7,23.7,0.718,2.8,22.2,,0.765,,10.999,10.8,0.588,0.597,1.0,0.198,91.7,93.0,77.5,93,0.649
0041600106,1610612741,Bulls,CHI,Chicago,240:00,89.7,89.2,115.5,112.9,-25.7,-23.7,0.406,0.87,11.2,0.235,,,16.22,16.1,0.42,0.469,1.0,0.195,91.7,93.0,77.5,93,0.351
0041600111,1610612739,Cavaliers,CLE,Cleveland,240:00,119.9,121.1,118.9,118.7,1.0,2.4,0.619,2.36,20.5,0.256,0.634,0.44,12.104,12.2,0.609,0.606,1.0,0.198,90.84,90.5,75.42,90,0.512
0041600111,1610612754,Pacers,IND,Indiana,240:00,118.9,118.7,119.9,121.1,-1.0,-2.4,0.525,1.62,17.0,0.366,0.744,0.56,14.317,14.3,0.562,0.601,1.0,0.2,90.84,90.5,75.42,91,0.488
